Args:  Namespace(num_episodes=10000, level=1, gamma=1, alpha=0.1, mode='by_playthrough', num_trials=25, output_dir='./TrainedLevels')
Starting trial 0...
Starting trial 1...
Starting trial 2...
Starting trial 3...
Starting trial 4...
Starting trial 5...
Starting trial 6...
Starting trial 7...
Starting trial 8...
Starting trial 9...
Starting trial 10...
Starting trial 11...
Starting trial 12...
Starting trial 13...
Starting trial 14...
Starting trial 15...
Starting trial 16...
Starting trial 17...
Starting trial 18...
Starting trial 19...
Starting trial 20...
Starting trial 21...
Starting trial 22...
Starting trial 23...
Starting trial 24...
-------------------- Training Stats --------------------
Action: Down | Done: False | Reward: -155
Action: Right | Done: False | Reward: -156
Action: Right | Done: False | Reward: -157
Action: Right | Done: False | Reward: -158
Action: Up | Done: False | Reward: -159
Action: Up | Done: False | Reward: -160
Action: Right | Done: False | Reward: -161
Action: Down | Done: False | Reward: -162
Action: Left | Done: False | Reward: -163
Action: Up | Done: False | Reward: -164
Action: Right | Done: False | Reward: -165
Action: Up | Done: False | Reward: -166
Action: Up | Done: False | Reward: -167
Action: Right | Done: False | Reward: -168
Action: Right | Done: False | Reward: -169
Action: Right | Done: False | Reward: -170
Action: Down | Done: False | Reward: -171
Action: Right | Done: False | Reward: -172
Action: Down | Done: False | Reward: -173
Action: Right | Done: False | Reward: -174
Action: Down | Done: False | Reward: -175
Action: Left | Done: False | Reward: -176
Action: Up | Done: True | Reward: -176
Action: Right | Done: False | Reward: -177
Action: Right | Done: False | Reward: -178
Action: Down | Done: False | Reward: -179
Action: Down | Done: False | Reward: -180
Action: Down | Done: False | Reward: -181
Action: Down | Done: False | Reward: -182
Action: Down | Done: False | Reward: -183
Action: Up | Done: False | Reward: -184
Action: Right | Done: False | Reward: -185
Action: Up | Done: False | Reward: -186
Action: Right | Done: True | Reward: -186
Action: Right | Done: False | Reward: -187
Action: Down | Done: False | Reward: -188
Action: Right | Done: False | Reward: -189
Action: Right | Done: False | Reward: -190
Action: Right | Done: False | Reward: -191
Action: Right | Done: False | Reward: -192
Action: Right | Done: False | Reward: -193
Action: Right | Done: False | Reward: -194
Action: Up | Done: False | Reward: -195
Action: Right | Done: False | Reward: -196
Action: Switch Focus | Done: False | Reward: -197
Action: Down | Done: False | Reward: -198
Action: Right | Done: False | Reward: -199
Action: Right | Done: False | Reward: -200
Action: Right | Done: False | Reward: -201
Action: Right | Done: False | Reward: -202
Action: Right | Done: False | Reward: -203
Action: Up | Done: False | Reward: -204
Action: Switch Focus | Done: False | Reward: -205
Action: Left | Done: False | Reward: -206
Action: Down | Done: False | Reward: -207
Action: Left | Done: False | Reward: -208
Action: Left | Done: False | Reward: -209
Action: Left | Done: False | Reward: -210
Action: Left | Done: False | Reward: -211
Action: Down | Done: True | Reward: -211
Action: Right | Done: False | Reward: -212
Action: Right | Done: False | Reward: -213
Action: Left | Done: False | Reward: -214
Action: Down | Done: False | Reward: -215
Action: Down | Done: False | Reward: -216
Action: Down | Done: False | Reward: -217
Action: Right | Done: False | Reward: -218
Action: Down | Done: False | Reward: -219
Action: Down | Done: False | Reward: -220
Action: Down | Done: False | Reward: -221
Action: Left | Done: False | Reward: -222
Action: Down | Done: False | Reward: -223
Action: Down | Done: False | Reward: -224
Action: Left | Done: False | Reward: -225
Action: Left | Done: False | Reward: -226
Action: Left | Done: False | Reward: -227
Action: Up | Done: False | Reward: -228
Action: Left | Done: False | Reward: -229
Action: Left | Done: False | Reward: -230
Action: Left | Done: False | Reward: -231
Action: Down | Done: False | Reward: -232
Action: Up | Done: False | Reward: -233
Action: Right | Done: False | Reward: -234
Action: Right | Done: False | Reward: -235
Action: Right | Done: False | Reward: -236
Action: Down | Done: False | Reward: -237
Action: Right | Done: False | Reward: -238
Action: Right | Done: False | Reward: -239
Action: Right | Done: False | Reward: -240
Action: Up | Done: False | Reward: -241
Action: Switch Focus | Done: False | Reward: -242
Action: Down | Done: False | Reward: -243
Action: Right | Done: False | Reward: -244
Action: Down | Done: False | Reward: -245
Action: Right | Done: False | Reward: -246
Action: Down | Done: False | Reward: -247
Action: Right | Done: False | Reward: -248
Action: Down | Done: False | Reward: -249
Action: Down | Done: False | Reward: -250
Action: Down | Done: False | Reward: -251
Action: Left | Done: False | Reward: -252
Action: Down | Done: False | Reward: -253
Action: Up | Done: False | Reward: -254
Action: Right | Done: False | Reward: -255
Action: Up | Done: False | Reward: -256
Action: Up | Done: False | Reward: -257
Action: Up | Done: False | Reward: -258
Action: Up | Done: False | Reward: -259
Action: Left | Done: False | Reward: -260
Action: Left | Done: False | Reward: -261
Action: Up | Done: False | Reward: -262
Action: Left | Done: False | Reward: -263
Action: Down | Done: False | Reward: -264
Action: Left | Done: False | Reward: -265
Action: Left | Done: False | Reward: -266
Action: Left | Done: False | Reward: -267
Action: Left | Done: False | Reward: -268
Action: Left | Done: True | Reward: -268
Avg. Steps                   : 12607142.92
Avg. MACs                    : 25214285.84
Avg. Mem Utilization (Bytes) : 3932260.52
--------------------------------------------------------
